Date_key,Date,Month,Year,Day
1,2000-01-01,01,2000,01
2,2000-01-02,01,2000,02
3,2000-01-03,01,2000,03
4,2000-01-04,01,2000,04
5,2000-01-05,01,2000,05
6,2000-01-06,01,2000,06
7,2000-01-07,01,2000,07
8,2000-01-08,01,2000,08
9,2000-01-09,01,2000,09
10,2000-01-10,01,2000,10
11,2000-01-11,01,2000,11
12,2000-01-12,01,2000,12
13,2000-01-13,01,2000,13
14,2000-01-14,01,2000,14
15,2000-01-15,01,2000,15
16,2000-01-16,01,2000,16
17,2000-01-17,01,2000,17
18,2000-01-18,01,2000,18
19,2000-01-19,01,2000,19
20,2000-01-20,01,2000,20
21,2000-01-21,01,2000,21
22,2000-01-22,01,2000,22
23,2000-01-23,01,2000,23
24,2000-01-24,01,2000,24
25,2000-01-25,01,2000,25
26,2000-01-26,01,2000,26
27,2000-01-27,01,2000,27
28,2000-01-28,01,2000,28
29,2000-01-29,01,2000,29
30,2000-01-30,01,2000,30
31,2000-01-31,01,2000,31
32,2000-02-01,02,2000,01
33,2000-02-02,02,2000,02
34,2000-02-03,02,2000,03
35,2000-02-04,02,2000,04
36,2000-02-05,02,2000,05
37,2000-02-06,02,2000,06
38,2000-02-07,02,2000,07
39,2000-02-08,02,2000,08
40,2000-02-09,02,2000,09
41,2000-02-10,02,2000,10
42,2000-02-11,02,2000,11
43,2000-02-12,02,2000,12
44,2000-02-13,02,2000,13
45,2000-02-14,02,2000,14
46,2000-02-15,02,2000,15
47,2000-02-16,02,2000,16
48,2000-02-17,02,2000,17
49,2000-02-18,02,2000,18
50,2000-02-19,02,2000,19
51,2000-02-20,02,2000,20
52,2000-02-21,02,2000,21
53,2000-02-22,02,2000,22
54,2000-02-23,02,2000,23
55,2000-02-24,02,2000,24
56,2000-02-25,02,2000,25
57,2000-02-26,02,2000,26
58,2000-02-27,02,2000,27
59,2000-02-28,02,2000,28
60,2000-02-29,02,2000,29
61,2000-03-01,03,2000,01
62,2000-03-02,03,2000,02
63,2000-03-03,03,2000,03
64,2000-03-04,03,2000,04
65,2000-03-05,03,2000,05
66,2000-03-06,03,2000,06
67,2000-03-07,03,2000,07
68,2000-03-08,03,2000,08
69,2000-03-09,03,2000,09
70,2000-03-10,03,2000,10
71,2000-03-11,03,2000,11
72,2000-03-12,03,2000,12
73,2000-03-13,03,2000,13
74,2000-03-14,03,2000,14
75,2000-03-15,03,2000,15
76,2000-03-16,03,2000,16
77,2000-03-17,03,2000,17
78,2000-03-18,03,2000,18
79,2000-03-19,03,2000,19
80,2000-03-20,03,2000,20
81,2000-03-21,03,2000,21
82,2000-03-22,03,2000,22
83,2000-03-23,03,2000,23
84,2000-03-24,03,2000,24
85,2000-03-25,03,2000,25
86,2000-03-26,03,2000,26
87,2000-03-27,03,2000,27
88,2000-03-28,03,2000,28
89,2000-03-29,03,2000,29
90,2000-03-30,03,2000,30
91,2000-03-31,03,2000,31
92,2000-04-01,04,2000,01
93,2000-04-02,04,2000,02
94,2000-04-03,04,2000,03
95,2000-04-04,04,2000,04
96,2000-04-05,04,2000,05
97,2000-04-06,04,2000,06
98,2000-04-07,04,2000,07
99,2000-04-08,04,2000,08
100,2000-04-09,04,2000,09
101,2000-04-10,04,2000,10
102,2000-04-11,04,2000,11
103,2000-04-12,04,2000,12
104,2000-04-13,04,2000,13
105,2000-04-14,04,2000,14
106,2000-04-15,04,2000,15
